# Galaxy Properties Data File
# Column 1: Galaxy ID
# Column 2: log10(Stellar Mass / M_sun)
# Column 3: Redshift
# Column 4: RA (degrees)
# Column 5: Dec (degrees)
1    9.12    0.045    150.123    2.456
2    10.45   0.067    150.234    2.567
3    9.87    0.032    150.345    2.678
4    11.23   0.089    150.456    2.789
5    10.01   0.054    150.567    2.890
6    9.34    0.043    150.678    2.901
7    10.78   0.076    150.789    2.912
8    9.67    0.038    150.890    2.923
9    11.05   0.091    150.901    2.934
10   10.23   0.061    151.012    2.945
11   9.56    0.047    151.123    2.956
12   10.89   0.083    151.234    2.967
13   9.98    0.056    151.345    2.978
14   10.34   0.069    151.456    2.989
15   9.78    0.041    151.567    2.990
16   11.12   0.094    151.678    2.991
17   10.45   0.072    151.789    2.992
18   9.43    0.049    151.890    2.993
19   10.67   0.077    151.901    2.994
20   9.89    0.053    152.012    2.995
